UTTERANCES,CORE RELATIONS
show movies with angelina jolie,movie.starring.actor
show me some war themed movies,movie.subjects
get films made in canada,movie.country
movies with angelina jolie,movie.starring.actor
i d like to know the genre of the film grease,movie.genre
tell me about movie,none
life is beautiful,none
how is a good man in africa's rating,movie.rating
are there any g movies out there right now,movie.rating
what is the buget of movie heroine,movie.estimated_budget
movies tom cruise produced,movie.produced_by
search for movies produced by albert ruddy,movie.produced_by
get john cusack movies for me,movie.starring.actor
give me a list of directors,none
list ice skating movies please,movie.subjects
who was in the movie captain america,movie.starring.actor
list some sci fi movies,movie.genre
list all robert wise movies,movie.directed_by
show movies directed by,movie.directed_by
rocky director's name,movie.directed_by
list cast hitch,movie.starring.actor
what genre is network in,movie.genre
i want information about life is beautiful,none
who acted in black swan,movie.starring.actor
i want to see spielberg's page,none
what genre is the jaws movies,movie.genre
r - rated,movie.rating
director of twilight,movie.directed_by
quentin tarrantino movies,movie.directed_by
find name of director of the movie platoon,movie.directed_by
list the hindi movies,movie.language
find the male actor from dirty harry,movie.starring.actor actor.gender
show me information on movie,none
give me some good pg moives,movie.rating
show all movies by paramount,movie.production_companies
watch movies in german language,movie.language
spanish movie listing,movie.country movie.language
who made hitch,movie.directed_by
show me movies in french,movie.language
who directed the sound of music,movie.directed_by
rating for the green hornet,movie.rating
more stuff about the movie go,none
who is the person that directed the film the dark knight,movie.directed_by
about the campaign,none
russell crowe movies,movie.starring.actor
bette midler movies please,movie.starring.actor
in which date varsham movie released,movie.initial_release_date
please find the movies by steven spielberg,movie.directed_by
about finding nemo,none
lionsgate films,movie.production_companies
i'm looking for a jason cortlund movie,movie.directed_by
i would like to know names of some of the japanese movies,movie.country movie.language
i need to know the rating of the movie avatar,movie.rating
what restrictions does the campaign film have for viewers,movie.rating
rating g,movie.rating
rocky 2 actor,movie.starring.actor
bring up all director movies,movie.directed_by
show rating of movie avengers,movie.rating
steven spielberg pictures,movie.directed_by
find ms. congeniality,none
list cast and crew in july,movie.starring.actor
run a search for star wars four,none
how many movies has ray stark produced,movie.produced_by
who filmed the dark knight,movie.directed_by
i want to know about clint eastwood,none
was kevin james in hitch,movie.starring.actor
show all movies directed by martin scorcese,movie.directed_by
show me horror movies,movie.genre
budget for the avengers,movie.estimated_budget
watch century fox movies,movie.production_companies
please find a movie in mandarin,movie.language
budget of heroine,movie.estimated_budget
find the male actor from the movie born free,movie.starring.actor actor.gender
show me movies from england,movie.country
search when the birds will be released,movie.initial_release_date
look for information about lionsgate,none
i need movies with a pg rating,movie.rating
information for sally field,none
show me more details for the movie dirty dancing,none
find me romantic movies,movie.genre
who stars in forager,movie.starring.actor
what foreign language is spoken in movie,movie.language
show me the bio for the director steven spielberg,none
give me movies directed by tyler perry,movie.directed_by
clint eastwood movies,movie.starring.actor
show me a list of movies produced by mgm,movie.production_companies
what language is movie in,movie.language
i want to look up spanish movies,movie.country movie.language
how many films directed by barbra streisand have been shot in the czech republic,movie.locations movie.directed_by
who was the director in men in black 3,movie.directed_by
what country does mirror come from,movie.country
display production company lionsgate,none
show me a list of movies with r rating,movie.rating
what movies has jerry bruckheimer produced,movie.produced_by
find indian movies,movie.country movie.language
do you know when this movie is available,movie.initial_release_date
show jason statham movies,movie.starring.actor
i need to know when was the movie avatar released,movie.initial_release_date
star of troy,movie.starring.actor
what are a list of movies with an r rating,movie.rating
meryl streep movies,movie.starring.actor
show films by steven spielberg,movie.directed_by
who was the lead woman in the savages,movie.starring.actor actor.gender
type of movie,movie.genre
find martin scorsese films,movie.directed_by
can i have a list of movie production companies,none
what kind of movie is grease,movie.genre
when was life is beautiful released,movie.initial_release_date
how old for black swan,movie.rating
what are the names of female actors who played in lost,movie.starring.actor actor.gender
what movies has christian bale appeared in,movie.starring.actor
are there any movies with ice skating,movie.subjects
i would like to see finding nemo's page,none
twilight revenue,movie.gross_revenue
movie made where,movie.country
can you give me detailed information about the movie house at the end of the street,none
can you show me spanish movies,movie.country movie.language
look for the producer of heroine,movie.produced_by
company that produced thor,movie.production_companies
who directed the movie,movie.directed_by
i would like to search for movies directed by stephen spielberg,movie.directed_by
in which month varsham movie released,movie.initial_release_date
movies from italy,movie.country
what movies has alfred hitchcock directed,movie.directed_by
show me where black swan is from,movie.country
name the producer of the godfather,movie.produced_by
find movies about dancing,movie.subjects
list gilda director,movie.directed_by
what was the budget of my big fat greek wedding,movie.estimated_budget
how would you describe the movie,movie.genre
pg movies,movie.rating
show me korean movies,movie.country movie.language
search for the producer of step up,movie.produced_by
who was the director of the movie avatar,movie.directed_by
i need to know in detail about the cast and crew of the movie apollo thirteen,movie.starring.actor
movies patrick swayze played in,movie.starring.actor
who is director of sleepless in seattle,movie.directed_by
when did resident evil debut in theaters,movie.initial_release_date
when can i see the great gatsby,movie.initial_release_date
rating for resident evil,movie.rating
I'd like to know some spanish movies,movie.country movie.language
which current movies are rated pg,movie.rating movie.initial_release_date
actor from iron man,movie.starring.actor
star of twilight,movie.starring.actor
movies of karan johar,movie.directed_by
find the director of step up,movie.directed_by
list all brad pitt's movies,movie.starring.actor
who was the male star of titanic,movie.starring.actor actor.gender
movie results for back to the future,none
release twilight,movie.initial_release_date
how many movies did victor fleming direct,movie.directed_by
martin lawrence directed what movie,movie.directed_by
give me a list of movies from spain,movie.country
who is childs vidor,none
find the female actress from the movie she's the man,movie.starring.actor actor.gender
i am looking for movies that are rated pg for family movie night,movie.rating
find steven spielberg movies,movie.directed_by
i want to watch a german movie,movie.country movie.language
display the films by 7 arts,movie.production_companies
search for movies in french,movie.language
all the movies by kareena,movie.starring.actor
i want to look for the director of freedom writers,movie.directed_by
show who produced black swan,movie.produced_by
i need to know the release date of the movie barfi,movie.initial_release_date
i would like to see a movie with albert brooks in it,movie.starring.actor
list movies filmed in ireland,movie.country movie.locations
show me pg movies,movie.rating
who does ellen degeneres play in finding nemo,movie.starring.actor movie.starring.character
show me apollo thirteen,none
country of weekend,movie.country
can i see who produced possesion,movie.produced_by
who was the director of the film finding nemo,movie.directed_by
who starred in go,movie.starring.actor
what was woody allen's last movie,movie.directed_by movie.initial_release_date
how many movies has charles vidor directed,movie.directed_by
what is possessed realese date,movie.initial_release_date
what language was aguirre wrath of god in,movie.language
dirty dancing facts,none
who were the cast members in the hobbist,movie.starring.actor
what are the plots of hotel rwanda,none
watch pg and g movies,movie.rating
who directed the movie the dark knight,movie.directed_by
how old should a person be to watch marley and me,movie.rating
japanese movies,movie.country movie.language
avatar was directed by whom,movie.directed_by
was life is beautiful made in italy,movie.country
search movies by noah baumbach,movie.directed_by
movie ratings,movie.rating
list all of the movies directed by james cameron,movie.directed_by
please make a list of movies that have been made in spanish,movie.language
look for movies produced by morgan freeman,movie.produced_by
do you have a list of japanese movies,movie.country movie.language
i want to see zombie movies that are scary,movie.genre movie.subjects
i want to watch movies directed by jackie chan,movie.directed_by
look up movies from india,movie.country
how much was the budget for the hunger games,movie.estimated_budget
who directed the movie titanic,movie.directed_by
movies by producer,movie.produced_by
show me high grossing movies,movie.gross_revenue gr.amount
find me tamil movies,movie.language
show me the rating for the movie,movie.rating
find movies with sandra bullock,movie.starring.actor
show lionsgate,none
funny scary movies,movie.genre
finding the buget of heroine,movie.estimated_budget
find all rated pg-13 movies with eddie murphy,movie.rating movie.starring.actor
give me swedish films,movie.country movie.language
how many movies has albert ruddy produced,movie.produced_by
show all brad pitt movies,movie.starring.actor
sound of music robert wise,movie.directed_by
what movies is will ferrell in,movie.starring.actor
find me a movie with zombies,movie.subjects
find the producer of the godfather,movie.produced_by
search the campaign movie,none
list scifi,movie.genre
what company produced secretariat,movie.production_companies
what company produced jurassic park,movie.production_companies
when was expendables 2 released,movie.initial_release_date
can you please list all movies with brad pitt,movie.starring.actor
can i have a list of bruce lee produced movies,movie.produced_by
who is in movie,movie.starring.actor
how old is kristen stewart,person.date_of_birth
find information about robert wise,none
search cast and crew for dirty dancing,movie.starring.actor
what movies are in bengali,movie.language
movies from the uk,movie.country
who played robin in batman forever,movie.starring.actor movie.starring.character
what is the rating for dirty dancing,movie.rating
who is the actor will ferrell,none
lionsgate list,movie.production_companies
show credits for the godfather,movie.starring.actor
show me detailed information about the movie house at the end of the street,none
how many movies did richard lester direct,movie.directed_by
find movies of yash chopra,movie.directed_by
what was avatar's budget,movie.estimated_budget
find release date of the help,movie.initial_release_date
release date for finding nemo,movie.initial_release_date
show movies directed by oliver stone,movie.directed_by
show only horror movies,movie.genre
find me movies rated g,movie.rating
show me mystery movies,movie.genre
what country is godzilla,movie.country
find the budget of my big fat greek wedding,movie.estimated_budget
can i please see more details for the director of finding nemo,movie.directed_by
tell me the director of the film the dark knight,movie.directed_by
show only paramount movies,movie.production_companies
what is movie rated,movie.rating
steven spielberg movies,movie.directed_by
what is the rating of dirty dancing,movie.rating
what language is passion of the christ in,movie.language
what movies have christian bale played in,movie.starring.actor
look up movie the campaign,none
what was the budget for passion of the christ,movie.estimated_budget
when the movie top gun was released,movie.initial_release_date
can you show me info on the movie life is beautiful please,none
show me movies made in america,movie.country
where can i watch star wars four,none
when is the release date of resident evil: retribution,movie.initial_release_date
who produced steel magnolias,movie.produced_by
find movies about love,movie.subjects
what was top gun's budget,movie.estimated_budget
titanic release date,movie.initial_release_date
what language is spoken in indochine,movie.language
when was overboard released,movie.initial_release_date
taye diggs films,movie.starring.actor
who produced possesion,movie.produced_by
show me the movies produced by warner bros,movie.production_companies
find all chinese language movies,movie.language
show me movies directed by sergio leone,movie.directed_by
spielberg movies,movie.directed_by
hitch crew,movie.starring.actor
find movies from india,movie.country
spanish language movies,movie.language
show me a list of all the movies produced by william packer,movie.produced_by
voice actor for homer simpson,movie.starring.actor movie.starring.character
where was the movie mirror produced,movie.country
what company produced days of thunder,movie.production_companies
who directed the movie gilda,movie.directed_by
what movies made the most money,movie.gross_revenue gr.amount
what were the gross receipts for the avengers,movie.gross_revenue
origin of spanglish,movie.country
who played dory on finding nemo,movie.starring.actor movie.starring.character
what country is movie from,movie.country
what did tom hanks produces,movie.produced_by
who is chewbakka,movie.starring.actor movie.starring.character
what country does the movie kati patang comes from,movie.country
can you find out who directed the movie batman,movie.directed_by
what genre is the movie,movie.genre
show me what was the budget of the movie avatar,movie.estimated_budget
who made the movie avatar,movie.directed_by
i need to see all pg movies,movie.rating
who was mirror s producer,movie.produced_by
how much did it cost to produce the deer hunter,movie.estimated_budget
current movies rated g,movie.rating movie.initial_release_date
i need to know where trainspotting comes from,movie.country
goto lionsgate,none
i want to know about spielberg,none
search for the name of the director of return,movie.directed_by
show me elvis movies,movie.starring.actor
get me star wars episode four details,none
apollo thirteen cast members,movie.starring.actor
what country was kinky boots made in,movie.country
find movies produced in russia,movie.country
french movies,movie.country movie.language
a showing of movies that are in spanish,movie.language
find movies directed by tom hanks,movie.directed_by
what age is marley and me appropriate,movie.rating
movie by dreamworks,movie.production_companies
who are the main voices in finding nemo,movie.starring.actor
list movies about war,movie.subjects
search directors,none
is there a movie about the zombie apocolypse,movie.subjects
what genre is step up in,movie.genre
show movies of zombies,movie.subjects
looking for a comedy movie,movie.genre
i cannot remember the name of the actor in pretty women,movie.starring.actor
kindly show me the rating for cabin in the woods,movie.rating
what was the budget of the movie avatar,movie.estimated_budget
only mel gibson movies,movie.starring.actor
was kevin bacon in apollo thirteen,movie.starring.actor
who was in the movie hitch,movie.starring.actor
i want to watch a movie by sergio leone,movie.directed_by
who produced et,movie.produced_by
who directed the movie cabin in the woods,movie.directed_by
please show me info on the movie life is beautiful,none
find movies with tom cruise in them,movie.starring.actor
who were the crew for the campaign,movie.starring.actor
i need to know the names of all the movies produced by william packer,movie.produced_by
cast and crew of the campaign,movie.starring.actor
what country does les miserable come from,movie.country
movies from germany,movie.country
find movies about vietnam,movie.subjects
what company produced the movie field of dreams,movie.production_companies
what type of movie is gilda,movie.genre
get me info on star wars episode four,none
how many movies did scorsese direct,movie.directed_by
warner brothers bio,none
what was the gross profit for twilight,movie.gross_revenue
show me names of some romantic movies having a pg thirteen rating,movie.rating movie.genre
what is the rating for the avenger movie,movie.rating
search for the director of step up,movie.directed_by
what are some movies made outside the us,movie.country
show me thrillers,movie.genre
can you tell me names of some movies by director martin scorsese,movie.directed_by
i would like to see something produced by robert redford,movie.produced_by
i want to see movies starring denzel washington,movie.starring.actor
please look up movies produced by albert ruddy,movie.produced_by
how much did hollywood pay for black swan,movie.estimated_budget
show me the cast of finding nemo,movie.starring.actor
please find the release date of heroine,movie.initial_release_date
director for gone with the wind,movie.directed_by
exhibit all relevant information about the director steven spielberg,none
german movie info,movie.country movie.language
what is the genre of the movie lawless,movie.genre
i want to know when 24 will be released,movie.initial_release_date
show me who played what role in go,movie.starring.actor movie.starring.character
do you have in movies in german,movie.language
i need to know the movie avatar's producer name,movie.produced_by
what movies were produced by brad pitt,movie.produced_by
show me movies about zombies,movie.subjects
i want to find a list of movies made in japan,movie.country
who directed star wars four,movie.directed_by
i am looking for the information on the movie pretty women,none
which country is this movie from,movie.country
what is the history behind paramount,none
show me pg thirteen movies,movie.rating
who directed hard days night,movie.directed_by
when will the great gatsby be released,movie.initial_release_date
i would like to find movies starring the singer mario,movie.starring.actor
list movie ratings for us movie looper,movie.country movie.rating
movie rating,movie.rating
what production company produced the movie avatar,movie.production_companies
search for the rating of the movie dredd,movie.rating
what country did the flowers of war come from,movie.country
what are the different languages this movie come in,movie.language
brian de palma movies,movie.directed_by
r rated movies,movie.rating
what director shot the 1st lord of the rings film,movie.directed_by
locate all movies produced by george lucas,movie.produced_by
can you tell me which country the movie kati patang comes from,movie.country
cast and crew for the movie house at the end of the street,movie.starring.actor
list french language comedy films,movie.language movie.genre
look for will ferrell,none
i'd like to watch something with drama,movie.genre
list all movies produced by alfred ruddy,movie.produced_by
what has will ferrell done,movie.starring.actor
name the director of sleepless in seattle,movie.directed_by
when was while you were sleeping released,movie.initial_release_date
dirty dancing movie,none
which female actors starred in hitch,movie.starring.actor actor.gender
show me hathaway's recent movies,movie.starring.actor movie.initial_release_date
when did vulgaria come out,movie.initial_release_date
who directed jurassic park,movie.directed_by
see comedy,movie.genre
what are all the movies to come out of france,movie.country
who was the producer for the amazing spiderman,movie.produced_by
what genre is the hangover,movie.genre
show me movie gilda by charles vidor,movie.directed_by
pretty girl movie genre,movie.genre
films produced by twentieth century fox,movie.production_companies
movies with vampires,movie.subjects
who was the director of the movie the mechanic,movie.directed_by
name all of the movies john singleton has directed,movie.directed_by
show me will smith movies,movie.starring.actor
search movies made by mel gibson,movie.directed_by
search for the movie life is beautiful,none
can you show me movies about war,movie.subjects
did alfred hitchcock direct a comedy,movie.directed_by movie.genre
director for anne of green gables,movie.directed_by
who directed the musical score in barfi,movie.music
who directed cast away,movie.directed_by
release date for the vow,movie.initial_release_date
tell me about michelle pfiefer,none
list some movies directed by steven spielberg,movie.directed_by
what movies did spike lee direct,movie.directed_by
in which movies has angelina jolie starred,movie.starring.actor
look up alfred hitchcock movies,movie.directed_by
show me pixar films,movie.production_companies
tell me what genre the tommyknockers is,movie.genre
when was avengers released,movie.initial_release_date
who was the co-star in shoot to kill,movie.starring.actor
look up the producer of freedom writers,movie.produced_by
get me the think like a man movie producer,movie.produced_by
where was trainspotting made,movie.country
what movies did tom hanks direct that he also starred in,movie.starring.actor movie.directed_by
search for foreign movies,movie.country
how much did it take to make the avengers,movie.estimated_budget
when will iron man 3 be out in movie theatres,movie.initial_release_date
can you please open page about in july movie,none
there are several g movies,movie.rating
get me a list of movies that ron howard produce,movie.produced_by
what language can i watch the movie the professional,movie.language
detail finding nemo,none
was robert wise the only director of the sound of music,movie.directed_by
show me only french foreign films,movie.country movie.language
cast of dirty dancing,movie.starring.actor
can you give me a list of movies produced by bruce lee,movie.produced_by
look for films with halle berry,movie.starring.actor
producer of heroine,movie.produced_by
show me movies listed by directors,movie.directed_by
i want to see info about star wars four,none
in the movie ants who is the producer,movie.produced_by
who played in life is beautiful,movie.starring.actor
show me all movies that star ed harris,movie.starring.actor
when will jaws be released,movie.initial_release_date
movies made in spain,movie.country
get me the name of who directed the master,movie.directed_by
when was paranorman be released,movie.initial_release_date
list all of the movies that have been directed by robert wise,movie.directed_by
find the movie hum tum,none
i need to see a list of pg movies,movie.rating
i would like to get all the information about the the campaign,none
please tell me about movies from the usa,movie.country
when will the hobbit be released,movie.initial_release_date
who directed hope floats,movie.directed_by
columbia production company movies,movie.production_companies
what year did spielberg start directing movies,movie.directed_by movie.initial_release_date
kristen stewart top movies,movie.starring.actor
find me nc-17 movies,movie.rating
finding nemo,none
find me a list of movies directed by james cameron,movie.directed_by
what other movies has richard lester directed,movie.directed_by
who was in black swan,movie.starring.actor
who is the director of batman,movie.directed_by
search for will ferrell,none
when was the movie title little women released,movie.initial_release_date
who produce the avatar,movie.produced_by
who acts in forager,movie.starring.actor
find out the budget of cujo,movie.estimated_budget
what date did vulgaria open,movie.initial_release_date
find pg thirteen movies,movie.rating
i want to see a polish movie,movie.country movie.language
pg movies list please,movie.rating
who is the producer for hitch,movie.produced_by
generate a list of movies about ice skating,movie.subjects
search mgm studios,none
find action movies,movie.genre
who directed finding nemo,movie.directed_by
find movies by ron howard,movie.directed_by
cast and crew of movie the campaign,movie.starring.actor
search for warner brothers movies,movie.production_companies
give me the release date for the little mermaid,movie.initial_release_date
twilight was directed by whom,movie.directed_by
what did lee unkrich direct,movie.directed_by
what was the budget for avatar,movie.estimated_budget
what's the latest on brad pitt,movie.starring.actor movie.initial_release_date
i would like look up the genre step up is in,movie.genre
what were the names of the ladies in facts of life,movie.starring.actor actor.gender
revenue for titanic,movie.gross_revenue
find movies produced by spike lee,movie.produced_by
i want to watch a korean movie,movie.country movie.language
what is the rating of movie,movie.rating
what company produced sparkle,movie.production_companies
give me a list of woody allen films,movie.directed_by
please give me a dutch movie listing,movie.country movie.language
display information for film finding nemo,none
budget for the hulk,movie.estimated_budget
korean movie,movie.country movie.language
who is the producer for the movie ants,movie.produced_by
zombies,movie.subjects
how many woody allen movies starred diane keaton,movie.starring.actor movie.directed_by
who was the female lead in resident evil,movie.starring.actor actor.gender
how many movies has woody allen directed,movie.directed_by
look up movies in chinese,movie.language
i want japanese movies,movie.country movie.language
find movies about ice skating,movie.subjects
show me the information for steven spielberg,none
display movies of zombies,movie.subjects
when was black beauty released,movie.initial_release_date
origin of gone with the wind,movie.country
what language is the movie elling in,movie.language
find the rating of the movie step up,movie.rating
what are movies whose topic involves time travel,movie.subjects
show movie ratings for us movie looper,movie.country movie.rating
i'd like to see foreign films,movie.country
who was the producer for the movie hitch,movie.produced_by
what movies has jj abrams procuced,movie.produced_by
show all details about star wars-a new hope movie,none
what are all of the movies directed by robert wise,movie.directed_by
can i see what the lion king's revenue was,movie.gross_revenue
which movies have zombies in them,movie.subjects
who plays luke on star wars new hope,movie.starring.actor movie.starring.character
how much did the dark night generate,movie.gross_revenue
who directed black swan,movie.directed_by
what movies have people speaking japanese in them,movie.language
show spielberg movies,movie.directed_by
show me the movies acted by bala krishna,movie.starring.actor
find the release date for heroine,movie.initial_release_date
when will the movie frankenstein be released,movie.initial_release_date
show me the film rating for avengers,movie.rating
show me movies from poland,movie.country
movies in chinese,movie.language
who produces steel magnolias,movie.produced_by
show me the movie now forager,none
profits made by titanic,movie.gross_revenue
i want to look for information about paramount studios,none
show videos about time travel,movie.subjects
show me house at the end of the street,none
what was the cast of black swan,movie.starring.actor
when does top gun come out,movie.initial_release_date
what was titanic's budget,movie.estimated_budget
will you show me a list of recent movies rated pg,movie.rating movie.initial_release_date
show me back to the future movies,none
what is the mpaa rating for movie,movie.rating
find movies produced by paramount pictures,movie.production_companies
director for pride and prejudice,movie.directed_by
search movies in which halle berry acted,movie.starring.actor
gilda director,movie.directed_by
show me the movies that spielberg made,movie.directed_by
frankenstein release date,movie.initial_release_date
show tom hanks,none
producer,none
get details of original finding nemo movie,movie.initial_release_date
show cast of movie request,movie.starring.actor
movies with r rating,movie.rating
list movies in french,movie.language
the movie gilda director,movie.directed_by
show me cher movies,movie.starring.actor
need to provide more info about the movie content,movie.subjects
i want scary zombie movies,movie.genre movie.subjects
search for movies that were produced by mosfilm,movie.production_companies
zombie movie favorites,movie.subjects
find all films showing in french,movie.language
what experience does darla anderson have as a producer,movie.produced_by
show me the movies produced by reliance,movie.production_companies
show my spielberg info,none
korean language movie,movie.language
list some of the best world war 2 films,movie.subjects
what was the first movie steven spielberg directed,movie.directed_by movie.initial_release_date
please show me all of the films that involve kevin bacon,movie.starring.actor
find me info on house at the end of the street,none
can you show me a korean movie,movie.country movie.language
all about finding nemo,none
what movie category is friday the 13th,movie.genre
what were production costs for black swan,movie.estimated_budget
do you know when 24 will be released,movie.initial_release_date
rating for the avengers,movie.rating
show all movies directed by ron howard,movie.directed_by
i want to find information about the cast of apollo thirteen,movie.starring.actor
find movies that are rated g,movie.rating
karan johar's movies,movie.directed_by
search director for gilda,movie.directed_by
who is andrew stanton,none
pixar film studio,none
i need to know who produced the movie avatar,movie.produced_by
who made batman the dark knight,movie.directed_by
films by mel gibson,movie.directed_by
find movies starring halle berry,movie.starring.actor
can i see all movies starring alan rickman,movie.starring.actor
i need to know the budget of the movie avatar,movie.estimated_budget
what genre is rambo,movie.genre
i want to see paramount movies,movie.production_companies
what are the titles of all the movies that george lucas produced,movie.produced_by
display all information on will ferrell,none
movies with sandra bullock,movie.starring.actor
biography for will ferrell,none
search for movies starring the singer mario,movie.starring.actor
get german language films,movie.language
when will the next amazing spiderman come out,movie.initial_release_date
show information for the movie title in july with moritz bleibtreu,movie.starring.actor
i want to see chinese movies,movie.country movie.language
which director made a comedy,movie.directed_by movie.genre
show me all movies for angelina jolie,movie.starring.actor
finding nemo details please,none
tell me the budget for the movie batman,movie.estimated_budget
run a search for life is beautiful,none
look for what country cell 21 is from,movie.country
what are some universal pictures films,movie.production_companies
what did spielberg direct,movie.directed_by
show me movies with alan rickman,movie.starring.actor
how much revenue did the avengers take it,movie.gross_revenue
will ferell videos,movie.starring.actor
what day avatar released,movie.initial_release_date
the producers for the movie ants,movie.produced_by
list french movies,movie.country movie.language
i would like to know the rating for cabin in the woods,movie.rating
show me hitch's cast,movie.starring.actor
release date for little women,movie.initial_release_date
bring up all diving movies,movie.subjects
what movies did clint eastwood direct,movie.directed_by
show me information for the movie dirty dancing,none
list steven spielberg produced movies,movie.produced_by
release date for toy story,movie.initial_release_date
frankenstein release,movie.initial_release_date
who was the director of movie varsham,movie.directed_by
when was lawless released,movie.initial_release_date
find movie info kristenn stewart,movie.starring.actor
play movies from turkey,movie.country
show me the movie vulgaria,none
robert wise life,none
release date for batman,movie.initial_release_date
i need page on life is beautiful,none
i want to know the avatar's budget,movie.estimated_budget
list movies rated g,movie.rating
about life is beautiful,none
what is the rating for the movie ants,movie.rating
movies with italian language,movie.language
show me movies in german,movie.language
movies frances ford copolla,movie.directed_by
production company for spiderman,movie.production_companies
please tell me if you have any movies from the united states,movie.country
i would like a list of paramount movies,movie.production_companies
find the director for et,movie.directed_by
show me a list of any movies made in canada,movie.country
show me spanish movies,movie.country movie.language
what movie made the least money,movie.gross_revenue gr.amount
company that produced twilight,movie.production_companies
when was the amazing spiderman released in the movie theatres,movie.initial_release_date
i want to see will ferrell details,none
list of 20 th century fox films,movie.production_companies
i need to get every possible information related with the movie dirty dancing,none
movies from the us,movie.country
what country produced the movie mirror,movie.country
movies in spanish,movie.language
i would like to know the genre of grease,movie.genre
i want to look up movies about dancing,movie.subjects
i want to see a list of scary movies,movie.genre
sort by all brad pitt movies,movie.starring.actor movie.directed_by
i want to watch a comedy made in norway,movie.country movie.genre
info german movie,movie.country movie.language
i want to watch a comedy made in hungary,movie.country movie.genre
who is the director of ghost busters,movie.directed_by
can i see the lion king's revenue,movie.gross_revenue
give me a list of movies made in france,movie.country
gross earnings for avengers movie,movie.gross_revenue
who starred in the campaign,movie.starring.actor
can i see the credits for dirty dancing,movie.starring.actor
find me movies with hugh jackman,movie.starring.actor
name of director for house at the end of the street,movie.directed_by
in what country was movie made,movie.country
who directed the perfect storm,movie.directed_by
find canadian films,movie.country
i am looking for the actor that played in pretty women,movie.starring.actor
find a pg rated movie,movie.rating
what are the films that warner bros. produced,movie.production_companies
what is the origin of casa blanca,movie.country
what country did shindler's list come from,movie.country
search for films produced in russia,movie.country
i want to know when step up was released,movie.initial_release_date
i would like to get some information about the movie star wars:episode four -a new hope,none
look for movies directed by tyler perry,movie.directed_by
can you show me a list of all the movies directed by james cameron,movie.directed_by
what has tom cruise acted in lately,movie.starring.actor movie.initial_release_date
i want to know who directed finding nemo,movie.directed_by
find me dreamworks films,movie.production_companies
show me the latest movies in tamil,movie.language
who starred in dirty dancing,movie.starring.actor
language of bullhead,movie.language
i want to see a list about zombie horror films,movie.genre movie.subjects
can you find the producer of heroine,movie.produced_by
mandarin movie please,movie.language
find any movies about horses,movie.subjects
search for information about charles vidor,none
what type of movie is parenthood,movie.genre
who directed to kill a mockingbird,movie.directed_by
i need information about the cast reviews story etc in detail about the movie house at the end of the street,none
search for movies in spanish,movie.language
when was the movie vulgaria released,movie.initial_release_date
i would like to know the names of all the movies which have been directed by james cameron,movie.directed_by
i need information on sean connery,none
looking for a horror movie,movie.genre
what movies came from japan,movie.country
please provide the name of the company that produced sparkle,movie.production_companies
find the new will ferrell movie,movie.starring.actor movie.initial_release_date
search for russian movies,movie.country movie.language
finding nemo movie page,none
who produced the movie twilight,movie.produced_by
what's the cast for life is beautiful,movie.starring.actor
display information for the movie in july,none
find cast and crew for dirty dancing,movie.starring.actor
what is the name of the lead actor in the titanic,movie.starring.actor
i would like to find the producers of the lion king,movie.produced_by
find movies in british english,movie.language
director of the avengers,movie.directed_by
can you get me a pg movie list,movie.rating
may i have the date of release for this movie,movie.initial_release_date
what are some films will ferrell starred in,movie.starring.actor
show me short films,movie.genre
when was the movie heroine released,movie.initial_release_date
bring up spanish movies,movie.country movie.language
show me the rating for cabin in the woods,movie.rating
get me info on the budget for avatar,movie.estimated_budget
show me hitchcock movies,movie.directed_by
can i see the set list and cast for life is beautiful,movie.starring.actor
how many films did robert wise direct,movie.directed_by
films with japaneese,movie.language
i would like to find movies produced by morgan freeman,movie.produced_by
what rating is superman,movie.rating
find the director for finding nemo,movie.directed_by
look for wes anderson films,movie.directed_by
recent movies by steven spielberg,movie.directed_by movie.initial_release_date
see miramax movies,movie.production_companies
show me movies with pg rating,movie.rating
what year was dirty dancing released,movie.initial_release_date
what is the name of the company that produced the movie ants,movie.production_companies
movies from spain,movie.country
who produced the godfather movies,movie.produced_by
look for information about tom cruise,none
show me the director of the film the dark knight,movie.directed_by
is the movie life is beautiful ok for my six year old to watch,movie.rating
movies from england,movie.country
get me canadian movies,movie.country
complete list of movies made by searchlight films,movie.production_companies
i would like more information about lionsgate,none
please show a list of recent movies rated pg,movie.rating
give me details about the movie in july,none
actors for life is beautiful,movie.starring.actor
producer for the passion of the christ,movie.produced_by
when was top gun released,movie.initial_release_date
goto warner brothers,none
whats some details for the movie finding nemo,none
what kind of movie is black swan,movie.genre
dark knight revenue,movie.gross_revenue
i would like to view info on life is beautiful,none
which movie was produced by albert rudy,movie.produced_by
show me dramas from china,movie.country movie.genre
get films from the united kingdom,movie.country
i need to know what is the language of the movie hero,movie.language
tell me what movies tom hanks star in,movie.starring.actor
which movies are directed by tyler perry,movie.directed_by
show me finding nemo director,movie.directed_by
i wonder who produced the terminator,movie.produced_by
what genre is the movie pretty girl,movie.genre
who directed the movie men in black 3,movie.directed_by
who was the producer for coming to america,movie.produced_by
where can i find information on finding nemo,none
tell me when compliance came out,movie.initial_release_date
star wars four,none
will ferrell tidbits,none
when was herione released,movie.initial_release_date
what's the synopsis of life is beatiful,none
find me movies made by alfred hitchcock,movie.directed_by
goto will ferrell biography,none
can you tell me the language of the movie hero,movie.language
